ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk
ENSG00000116717,1.098574043,9.024391568,1805.565612,0,0,GADD45A,v3,FALSE
ENSG00000162616,1.094985537,8.813142901,1859.135181,0,0,DNAJB4,v3,FALSE
ENSG00000137441,1.093887065,8.795943746,1623.009152,0,0,FGFBP2,v3,FALSE
ENSG00000185215,1.080488702,8.792934743,1989.923908,0,0,TNFAIP2,v3,FALSE
ENSG00000162924,1.07536268,8.867839282,1969.053967,0,0,REL,v3,FALSE
ENSG00000186081,1.073917481,9.749024681,2274.768686,0,0,KRT5,v3,FALSE
ENSG00000185290,1.070955952,9.218628461,5215.028424,0,0,NUPR2,v3,FALSE
ENSG00000168610,1.066867761,8.877793536,1925.157986,0,0,STAT3,v3,FALSE
ENSG00000105835,1.060444268,8.806376015,2024.062038,0,0,NAMPT,v3,FALSE
ENSG00000172216,1.058288311,9.801456533,3004.15424,0,0,CEBPB,v3,FALSE
ENSG00000185650,1.051870263,9.510884753,2496.595496,0,0,ZFP36L1,v3,FALSE
ENSG00000188290,1.051550762,9.209803207,2552.95522,0,0,HES4,v3,FALSE
ENSG00000136527,1.046397233,9.226233397,2209.044872,0,0,TRA2B,v3,FALSE
ENSG00000131196,1.041015197,8.729602419,2062.827734,0,0,NFATC1,v3,FALSE
ENSG00000173846,1.040890102,8.616161338,2968.732498,6.819824915e-315,6.20285383876e-313,PLK3,v3,FALSE
ENSG00000179820,1.040288591,8.631107586,2309.687337,1.14E-288,9.36E-287,MYADM,v3,FALSE
ENSG00000198355,1.029414854,8.823672734,1804.559835,0,0,PIM3,v3,FALSE
ENSG00000164548,1.026543121,8.861031625,1700.889568,0,0,TRA2A,v3,FALSE
ENSG00000104368,1.023860686,8.608368712,3151.720688,0,0,PLAT,v3,FALSE
ENSG00000151929,1.02153978,8.680621941,1915.470476,0,0,BAG3,v3,FALSE
ENSG00000276900,1.01679815,8.614630478,2706.957684,2.27E-308,2.01E-306,NA,v3,FALSE
ENSG00000102854,1.016523764,8.706101699,3667.002731,0,0,MSLN,v3,FALSE
ENSG00000273802,1.01515925,8.692752124,1848.705716,0,0,HIST1H2BG,v3,FALSE
ENSG00000137267,1.013535677,8.696574393,1835.710928,1.861620036e-315,1.7011536325e-313,TUBB2A,v3,FALSE
ENSG00000134107,1.012451539,8.776862486,1618.256237,0,0,BHLHE40,v3,FALSE
ENSG00000173457,1.010406132,9.150870441,2403.353486,0,0,PPP1R14B,v3,FALSE
ENSG00000062716,1.007463728,8.825502606,1757.803249,0,0,VMP1,v3,FALSE
ENSG00000182827,1.003344571,8.888741324,1964.96698,0,0,ACBD3,v3,FALSE
ENSG00000267519,1.002520407,8.644292798,2069.414687,7.86E-302,6.86E-300,LOC284454,v3,FALSE
ENSG00000186352,0.999341688,8.916597315,1238.581486,1.56E-264,1.15E-262,ANKRD37,v3,FALSE
ENSG00000158615,0.999198152,8.676208775,1969.161775,1.38E-302,1.21E-300,PPP1R15B,v3,FALSE
ENSG00000107372,0.997130804,9.022898424,1888.588188,0,0,ZFAND5,v3,FALSE
ENSG00000206075,0.991492399,8.96265882,1775.705976,0,0,SERPINB5,v3,FALSE
ENSG00000233822,0.990414978,8.681269359,1766.686926,1.17E-296,9.88E-295,HIST1H2BN,v3,FALSE
ENSG00000235947,0.988441949,8.571665956,4210.176696,1.71E-297,1.45E-295,EGOT,v3,FALSE
ENSG00000153487,0.98604089,8.655851284,2023.851264,1.01E-282,8.23E-281,ING1,v3,FALSE
ENSG00000160862,0.984969135,10.07380864,2853.661503,0,0,AZGP1,v3,FALSE
ENSG00000109971,0.979804046,9.514424176,2410.08474,0,0,HSPA8,v3,FALSE
ENSG00000204256,0.974326431,8.843432791,1683.308537,0,0,BRD2,v3,FALSE
ENSG00000185479,0.963717047,8.758498692,989.1373697,9.51E-213,5.27E-211,KRT6B,v3,FALSE
ENSG00000148346,0.961427447,8.789375657,2775.609811,0,0,LCN2,v3,FALSE
ENSG00000117318,0.960574788,8.593258628,2828.685302,4.53E-268,3.46E-266,ID3,v3,FALSE
ENSG00000124466,0.957262014,9.2513333,1295.899964,2.33E-276,1.83E-274,LYPD3,v3,FALSE
ENSG00000134294,0.955316763,8.765353171,1634.023779,8.72101619589787e-310,7.75E-308,SLC38A2,v3,FALSE
ENSG00000187608,0.954293435,8.794282226,1242.508833,2.41E-265,1.81E-263,ISG15,v3,FALSE
ENSG00000148339,0.953092086,8.579193692,3741.822817,3.38E-294,2.85E-292,SLC25A25,v3,FALSE
ENSG00000255874,0.95275186,8.579260556,4335.236651,1.59E-290,1.33E-288,LINC00346,v3,FALSE
ENSG00000196189,0.951169557,8.623136577,2064.497145,1.61E-242,1.06E-240,SEMA4A,v3,FALSE
ENSG00000140941,0.944448902,8.893977543,1522.686881,7e-323,6.536e-321,MAP1LC3B,v3,FALSE
ENSG00000256618,0.941007767,8.621805658,2131.077373,3.93E-230,2.42E-228,MTRNR2L1,v3,FALSE
ENSG00000112096,0.932909968,8.710652233,1524.633649,3.31E-298,2.83E-296,SOD2,v3,FALSE
ENSG00000184292,0.931357718,9.903358047,1697.421218,0,0,TACSTD2,v3,FALSE
ENSG00000232810,0.927446961,8.556579453,5965.825745,2.5e-323,2.357e-321,TNF,v3,FALSE
ENSG00000161011,0.921840501,9.109415224,1597.550809,0,0,SQSTM1,v3,FALSE
ENSG00000170421,0.912636478,9.640182562,2131.91901,0,0,KRT8,v3,FALSE
ENSG00000006327,0.91016946,9.427105048,1706.442893,0,0,TNFRSF12A,v3,FALSE
ENSG00000175793,0.90793635,8.843171147,1357.19982,5.64E-289,4.65E-287,SFN,v3,FALSE
ENSG00000156675,0.903418301,8.985105649,2487.20538,0,0,RAB11FIP1,v3,FALSE
ENSG00000101096,0.898422939,8.581922817,3020.871421,4.01E-244,2.67E-242,NFATC2,v3,FALSE
ENSG00000123610,0.891921999,8.655004706,1421.283839,8.98E-267,6.80E-265,TNFAIP6,v3,FALSE
ENSG00000069399,0.890961672,8.624731309,1909.01802,1.29E-222,7.63E-221,BCL3,v3,FALSE
ENSG00000109846,0.890096649,9.028216469,1107.803781,1.89E-237,1.22E-235,CRYAB,v3,FALSE
ENSG00000110092,0.886682346,9.062511124,1253.385948,1.37E-267,1.04E-265,CCND1,v3,FALSE
ENSG00000145632,0.885787619,8.719035604,1276.746739,2.69E-241,1.77E-239,PLK2,v3,FALSE
ENSG00000112972,0.884471257,8.803998788,1156.130343,1.78E-247,1.20E-245,HMGCS1,v3,FALSE
ENSG00000143546,0.882519636,8.646968405,1161.204494,1.58E-248,1.07E-246,S100A8,v3,FALSE
ENSG00000186480,0.881593698,8.993480965,1177.497302,6.68E-252,4.64E-250,INSIG1,v3,FALSE
ENSG00000188112,0.879744189,8.635581744,1618.591383,1.11E-207,5.96E-206,C6orf132,v3,FALSE
ENSG00000044574,0.87973653,9.531680927,1284.114106,6.26E-274,4.87E-272,HSPA5,v3,FALSE
ENSG00000128272,0.879624189,8.993260704,1433.526992,1.22E-304,1.07E-302,ATF4,v3,FALSE
ENSG00000105327,0.879087253,8.575347556,2867.665074,2.34E-228,1.43E-226,BBC3,v3,FALSE
ENSG00000095739,0.878916737,9.030352459,1409.717583,9.27E-300,7.99E-298,BAMBI,v3,FALSE
ENSG00000163347,0.876601272,8.740773478,2907.039484,8.5560827e-316,7.855452541e-314,CLDN1,v3,FALSE
ENSG00000163584,0.875431564,8.963009029,1468.580275,8.080601465744e-312,7.27896485930726e-310,RPL22L1,v3,FALSE
ENSG00000203760,0.874350411,9.357501746,1233.958807,1.40E-263,1.03E-261,CENPW,v3,FALSE
ENSG00000232956,0.871221567,8.802164692,1342.696034,5.41E-286,4.43E-284,SNHG15,v3,FALSE
ENSG00000121900,0.870225208,8.96303696,1634.819643,0,0,TMEM54,v3,FALSE
ENSG00000118515,0.86074019,8.65997952,1570.437059,1.06E-212,5.86E-211,SGK1,v3,FALSE
ENSG00000007944,0.86072269,8.669373302,1630.841621,7.23E-281,5.79E-279,MYLIP,v3,FALSE
ENSG00000143333,0.858736899,8.624504486,1500.295494,5.37E-200,2.80E-198,RGS16,v3,FALSE
ENSG00000269893,0.854462136,9.116772123,1358.986441,2.42E-289,2.00E-287,SNHG8,v3,FALSE
ENSG00000108244,0.85322738,8.971192341,1097.646837,2.45E-235,1.55E-233,KRT23,v3,FALSE
ENSG00000159200,0.853095524,8.976384427,1310.509918,2.28E-279,1.80E-277,RCAN1,v3,FALSE
ENSG00000118849,0.851162293,10.88122789,3125.782442,0,0,RARRES1,v3,FALSE
ENSG00000166165,0.850620461,9.116276236,1240.721848,5.68E-265,4.23E-263,CKB,v3,FALSE
ENSG00000253276,0.843618261,8.595448495,2128.910711,7.89E-205,4.19E-203,CCDC71L,v3,FALSE
ENSG00000196878,0.8432917,8.742357057,1148.407128,1.97E-230,1.22E-228,LAMB3,v3,FALSE
ENSG00000160570,0.842509445,8.646610598,1585.596474,7.34E-237,4.70E-235,DEDD2,v3,FALSE
ENSG00000051620,0.842026176,10.27860957,2592.244989,0,0,HEBP2,v3,FALSE
ENSG00000136603,0.841586246,8.759515857,1257.881565,2.06E-253,1.46E-251,SKIL,v3,FALSE
ENSG00000124145,0.840496336,8.820415572,1178.657005,3.84E-252,2.70E-250,SDC4,v3,FALSE
ENSG00000167470,0.839528041,8.639806732,1554.324774,4.80E-198,2.46E-196,MIDN,v3,FALSE
ENSG00000005001,0.837181835,8.572817274,3098.641152,7.61E-224,4.59E-222,PRSS22,v3,FALSE
ENSG00000154640,0.83296083,8.756756982,1251.975314,4.69E-260,3.38E-258,BTG3,v3,FALSE
ENSG00000164920,0.829577184,8.659529576,1346.765935,2.09E-204,1.10E-202,OSR2,v3,FALSE
ENSG00000179833,0.828669283,8.822059446,1226.994711,7.31E-251,5.03E-249,SERTAD2,v3,FALSE
ENSG00000171209,0.826041172,9.288831776,378.9263077,2.52E-82,4.67E-81,CSN3,v3,FALSE
